case_id,trajectory,omega_rad_s,delay_s,mean_packet_age_s,performance_ratio,improvement_percent,omega_time_constant,omega_sample_period,classification,q_delay,q_age,q1_age,q2_age,theoretical_q_candidate,q_delay_minus_candidate,q_age_minus_candidate
case__trajectory-circle__A-1__w-1__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,circle,1,0.4,0.407500248681059,0.205105484995595,79.4894515004405,0.1,0.02,improvement,0.4,0.407500248681059,0.407500248681059,0.815000497362117,1.89549426703398,-1.49549426703398,-1.48799401835292
case__trajectory-circle__A-1__w-2__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,circle,2,0.4,0.407501491943809,0.413125792188001,58.6874207811999,0.2,0.04,improvement,0.8,0.815002983887618,0.815002983887618,1.63000596777524,1.89549426703398,-1.09549426703398,-1.08049128314636
case__trajectory-circle__A-1__w-4__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,circle,4,0.4,0.407499005173205,0.851234612683771,14.8765387316229,0.4,0.08,improvement,1.6,1.62999602069282,1.62999602069282,3.25999204138564,1.89549426703398,-0.295494267033981,-0.265498246341161
case__trajectory-circle__A-1__w-0p5__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,circle,0.5,0.5,0.507500000000453,0.127424405918957,87.2575594081043,0.05,0.01,improvement,0.25,0.253750000000227,0.253750000000227,0.507500000000453,1.89549426703398,-1.64549426703398,-1.64174426703375
case__trajectory-circle__A-1__w-1__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,circle,1,0.5,0.507500248681067,0.255541672754484,74.4458327245516,0.1,0.02,improvement,0.5,0.507500248681067,0.507500248681067,1.01500049736213,1.89549426703398,-1.39549426703398,-1.38799401835291
case__trajectory-circle__A-1__w-2__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,circle,2,0.5,0.507501491943808,0.516772558082186,48.3227441917814,0.2,0.04,improvement,1,1.01500298388762,1.01500298388762,2.03000596777523,1.89549426703398,-0.895494267033981,-0.880491283146365
case__trajectory-circle__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,circle,4,0.5,0.507499005173203,1.08431084843105,-8.43108484310455,0.4,0.08,degradation,2,2.02999602069281,2.02999602069281,4.05999204138563,1.89549426703398,0.104505732966019,0.134501753658832
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0,0.00750000000076616,0.00607438974080156,99.3925610259198,0.05,0.01,improvement,0,0.00375000000038308,0.00375000000038308,0.00750000000076616,1.89549426703398,-1.89549426703398,-1.8917442670336
case__trajectory-lissajous_1_2__A-1__w-1__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,lissajous_1_2,1,0,0.00750024868130762,0.0121299708429897,98.787002915701,0.1,0.02,improvement,0,0.00750024868130762,0.00750024868130762,0.0150004973626152,1.89549426703398,-1.89549426703398,-1.88799401835267
case__trajectory-lissajous_1_2__A-1__w-2__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,lissajous_1_2,2,0,0.00750149194381836,0.0241152985655641,97.5884701434436,0.2,0.04,improvement,0,0.0150029838876367,0.0150029838876367,0.0300059677752734,1.89549426703398,-1.89549426703398,-1.88049128314634
