case_id,trajectory,omega_rad_s,delay_s,sample_period_s,time_constant_s,fixed_step_s,duration_s,warmup_cycles,evaluation_start_s,evaluation_end_s,omega_delay,mean_packet_age_s,omega_mean_packet_age,omega_time_constant,omega_sample_period,rmse_zoh_m,rmse_cv_m,nrmse_zoh,nrmse_cv,max_error_zoh_m,max_error_cv_m,performance_ratio,improvement_percent,status,error_identifier,error_message,boundary_tolerance,classification,boundary_distance,improvement_sign_consistent
case__trajectory-circle__A-1__w-2__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,circle,2,0.2,0.02,0.1,0.005,31.42,2,6.285,31.415,0.4,0.207501491943814,0.415002983887628,0.2,0.04,0.40720965739355,0.0854533279314408,0.40720965739355,0.0854533279314408,0.407703949109439,0.0856606931285622,0.209850936439982,79.0149063560018,success,,,0.00788295525937244,improvement,0.790149063560018,1
case__trajectory-circle__A-1__w-4__d-0p20000000000000001__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,circle,4,0.2,0.02,0.1,0.005,15.71,2,3.145,15.705,0.8,0.207499005173209,0.829996020692836,0.4,0.08,0.754253567495358,0.318905493372885,0.754253567495358,0.318905493372885,0.75524127734412,0.319732502086348,0.422809393440287,57.7190606559713,success,,,0.00788295525937244,improvement,0.577190606559713,1
case__trajectory-circle__A-1__w-0p5__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,circle,0.5,0.4,0.02,0.1,0.005,125.665,2,25.135,125.66,0.2,0.407500000000461,0.20375000000023,0.05,0.01,0.203971402209069,0.0208812852738625,0.203971402209069,0.0208812852738625,0.204094793734652,0.020906614444078,0.102373592806208,89.7626407193792,success,,,0.00788295525937244,improvement,0.897626407193792,1
case__trajectory-circle__A-1__w-1__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,circle,1,0.4,0.02,0.1,0.005,62.835,2,12.57,62.83,0.4,0.407500248681059,0.407500248681059,0.1,0.02,0.404298042907579,0.0829237461733287,0.404298042907579,0.0829237461733287,0.40454379498859,0.0830250183135867,0.205105484995595,79.4894515004405,success,,,0.00788295525937244,improvement,0.794894515004405,1
case__trajectory-circle__A-1__w-2__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,circle,2,0.4,0.02,0.1,0.005,31.42,2,6.285,31.415,0.8,0.407501491943809,0.815002983887618,0.2,0.04,0.780208990275179,0.322324457179634,0.780208990275179,0.322324457179634,0.780691916988068,0.322728654800677,0.413125792188001,58.6874207811999,success,,,0.00788295525937244,improvement,0.586874207811999,1
case__trajectory-circle__A-1__w-4__d-0p40000000000000002__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,circle,4,0.4,0.02,0.1,0.005,15.71,2,3.145,15.705,1.6,0.407499005173205,1.62999602069282,0.4,0.08,1.35539013746192,1.1537549986978,1.35539013746192,1.1537549986978,1.35628219690793,1.15535414879467,0.851234612683771,14.8765387316229,success,,,0.00788295525937244,improvement,0.148765387316229,1
case__trajectory-circle__A-1__w-0p5__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,circle,0.5,0.5,0.02,0.1,0.005,125.665,2,25.135,125.66,0.25,0.507500000000453,0.253750000000227,0.05,0.01,0.253578954244764,0.0323121475981895,0.253578954244764,0.0323121475981895,0.253702145274132,0.032343640256383,0.127424405918957,87.2575594081043,success,,,0.00788295525937244,improvement,0.872575594081043,1
case__trajectory-circle__A-1__w-1__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-62p835000000000001,circle,1,0.5,0.02,0.1,0.005,62.835,2,12.57,62.83,0.5,0.507500248681067,0.507500248681067,0.1,0.02,0.501179924119442,0.128072356160447,0.501179924119442,0.128072356160447,0.501424055317675,0.12819809748127,0.255541672754484,74.4458327245516,success,,,0.00788295525937244,improvement,0.744458327245516,1
case__trajectory-circle__A-1__w-2__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,circle,2,0.5,0.02,0.1,0.005,31.42,2,6.285,31.415,1,0.507501491943808,1.01500298388762,0.2,0.04,0.955932118884076,0.493999486428648,0.955932118884076,0.493999486428648,0.956402066303377,0.49449855447984,0.516772558082186,48.3227441917814,success,,,0.00788295525937244,improvement,0.483227441917814,1
case__trajectory-circle__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,circle,4,0.5,0.02,0.1,0.005,15.71,2,3.145,15.705,2,0.507499005173203,2.02999602069281,0.4,0.08,1.5804694882327,1.71372021170498,1.5804694882327,1.71372021170498,1.58125899383904,1.71565016766594,1.08431084843105,-8.43108484310455,success,,,0.00788295525937244,degradation,0.0843108484310455,1
case__trajectory-lissajous_1_2__A-1__w-0p5__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,lissajous_1_2,0.5,0,0.02,0.1,0.005,125.665,2,25.135,125.66,0,0.00750000000076616,0.00375000000038308,0.05,0.01,0.0072171398219488,4.38397200923762e-05,0.0072171398219488,4.38397200923762e-05,0.0104804550252267,6.35828423350497e-05,0.00607438974080156,99.3925610259198,success,,,0.00788295525937244,improvement,0.993925610259198,1
