role,role_mapping,trajectory,case_id,omega_rad_s,delay_s,base_fixed_step_s,refined_fixed_step_s,sample_period_s,base_rmse_zoh_m,refined_rmse_zoh_m,base_rmse_cv_m,refined_rmse_cv_m,base_performance_ratio,refined_performance_ratio,delta_rmse_zoh_m,delta_rmse_cv_m,delta_performance_ratio,relative_delta_rmse_zoh,relative_delta_rmse_cv,relative_delta_performance_ratio,base_max_error_zoh_m,refined_max_error_zoh_m,base_max_error_cv_m,refined_max_error_cv_m,delta_max_error_zoh_m,delta_max_error_cv_m,relative_delta_max_error_zoh,relative_delta_max_error_cv,sample_alignment_ratio,sample_alignment_valid,convergence_status
best_improvement,best_improvement,circle,case__trajectory-circle__A-1__w-0p5__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,0.5,0,0.005,0.0025,0.02,0.00457818093834758,0.00478626459836426,1.50897472233513e-05,1.574008101869e-05,0.00329601372828172,0.00328859399542374,0.000208083660016688,6.50333795338669e-07,-7.41973285797379e-06,0.0454511656089748,0.0430977262715363,0.00225112316563131,0.00470097113150549,0.00493054286742164,1.57076274035027e-05,1.64653689342771e-05,0.000229571735916151,7.57741530774321e-07,0.0488349597336563,0.0482403555488812,8,1,validated
worst_degradation,worst_degradation|nearest_boundary,circle,case__trajectory-circle__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,4,0.5,0.005,0.0025,0.02,1.5804694882327,1.58129802676696,1.71372021170498,1.71618939027835,1.08431084843105,1.08530420023806,0.000828538534265011,0.00246917857336793,0.000993351807016873,0.000524235703652522,0.00144082946358632,0.000916113500528205,1.58125899383904,1.58222682223148,1.71565016766594,1.71845660037472,0.000967828392443693,0.002806432708782,0.000612061905237904,0.00163578377554675,8,1,validated
best_improvement,best_improvement,lissajous_1_2,case__trajectory-lissajous_1_2__A-1__w-0p5__d-0__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-125p66500000000001,0.5,0,0.005,0.0025,0.02,0.0072171398219488,0.00754516735544617,4.38397200923762e-05,4.57290976764967e-05,0.00607438974080156,0.00606071350339088,0.000328027533497367,1.88937758412045e-06,-1.36762374106812e-05,0.0454511817132554,0.0430973915923567,0.00225145866403964,0.0104804550252267,0.0109922679613752,6.35828423350497e-05,6.66501108083903e-05,0.00051181293614855,3.06726847334053e-06,0.0488349918888642,0.048240505782638,8,1,validated
nearest_boundary,nearest_boundary,lissajous_1_2,case__trajectory-lissajous_1_2__A-1__w-2__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-31p420000000000002,2,0.5,0.005,0.0025,0.02,1.30604220245155,1.30684754870822,1.26117455767731,1.26295000236434,0.965646098809048,0.966409588947634,0.000805346256672168,0.0017754446870204,0.000763490138586342,0.000616631112808198,0.00140777077702091,0.000790652123513957,1.84798207005757,1.84922434608399,1.75148895975479,1.75436099312533,0.00124227602641924,0.00287203337054009,0.000672233809270966,0.00163976675647569,8,1,validated
worst_degradation,worst_degradation,lissajous_1_2,case__trajectory-lissajous_1_2__A-1__w-4__d-0p5__sp-0p02__T-0p10000000000000001__dt-0p0050000000000000001__fs-0p0050000000000000001__tc-10__wc-2__solver-ode4__duration-15p710000000000001,4,0.5,0.005,0.0025,0.02,1.490399781435,1.49028329496784,3.07936432898649,3.08206061157486,2.06613310558969,2.06810384440453,-0.000116486467153676,0.00269628258836585,0.00197073881484311,7.815786650312e-05,0.000875597136391223,0.000953829552177203,2.10771664572196,2.10776975172135,4.19434480483204,4.19923075564654,5.31059993869043e-05,0.00488595081449983,2.51959861372702e-05,0.00116489011796814,8,1,validated
